name,age,gender,course,year,attendance,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,backlog_count,event_participation,dropout_thought
Varun Bansal,18,Male,BSc CS,3rd Year,30.0,6.68,6.38,8.07,6.32,10.0,1.0,Regularly,0
Sneha Gupta,21,Male,BSc IT,2nd Year,12.0,1.9672722280248944,7.29,7.99,9.46,7.3,1.0,Regularly,0
Kavya Pandey,21,Male,BA,1st Year,,4.74,8.16,7.77,8.45,,1.0,Never,0
Tanvi Malhotra,19,Male,BCom,1st Year,67.78,8.35,5.27,6.85,6.91,,0.0,Rarely,0
Aryan Mehta,20,Female,BBA,2nd Year,75.66,8.29,7.09,7.42,7.74,,0.0,Regularly,0
Aarav Kulkarni,18,Male,BSc CS,3rd Year,73.85,4.42,7.62,,5.61,6.95,1.0,Occasionally,0
Rahul Mehta,20,Female,BSc CS,1st Year,87.77,6.26,,,6.34,,1.0,Rarely,0
Yash Singh,22,Female,BA,3rd Year,42.12,7.48,6.06,,7.78,5.6,0.0,Rarely,0
Aarav Mishra,22,Female,BSc CS,1st Year,78.9,5.45,5.13,7.25,6.58,4.47,0.0,Rarely,0
Karan Patel,21,Male,BCom,2nd Year,100.0,9.85,8.22,6.47,8.9,6.53,0.0,Occasionally,0
Nisha Kapoor,19,Female,BA,2nd Year,53.77,1.2513225757533812,4.51,6.97,6.26,5.49,2.0,Rarely,1
Krishna Gupta,18,Female,BCom,1st Year,77.18,9.15,6.91,7.68,8.0,4.9,1.0,Regularly,0
Nisha Mehta,19,Female,BSc IT,3rd Year,63.55,4.83,,7.06,7.31,5.91,0.0,Never,1
Neha Agarwal,21,Male,BSc CS,1st Year,,8.06,4.98,,4.43,9.4,0.0,Occasionally,0
Aditya Nair,19,Male,BBA,1st Year,14.0,6.27,6.74,7.19,7.54,7.77,3.0,Regularly,0
Manav Nair,21,Male,BCom,1st Year,72.16,6.86,7.14,6.29,7.71,,2.0,Occasionally,0
Rohan Nair,21,Female,BA,3rd Year,87.3,0.10315913568396629,6.4,9.29,7.66,7.35,1.0,Occasionally,0
Kavya Singh,18,Male,BBA,1st Year,51.31,6.71,7.99,8.07,7.11,5.94,2.0,Occasionally,0
Nisha Desai,21,Male,BCom,1st Year,82.64,8.5,8.16,7.1,6.42,7.48,0.0,Regularly,0
Vikram Verma,21,Female,BSc IT,1st Year,62.16,8.81,7.48,6.58,7.99,8.54,0.0,Never,1
Pooja Chopra,21,Male,BSc IT,1st Year,,8.17,8.66,8.21,5.04,7.34,0.0,Occasionally,0
Aryan Reddy,19,Female,BSc CS,2nd Year,97.44,7.22,10.0,,7.06,9.14,,Rarely,0
Aryan Mishra,21,Female,BSc CS,1st Year,65.55,6.78,6.6,6.44,6.52,6.49,1.0,Rarely,0
Sneha Pandey,22,Female,BSc CS,1st Year,64.06,8.68,,7.74,6.24,,,Never,1
Pooja Jain,19,Female,BBA,3rd Year,,0.9445327823113072,7.19,7.93,7.57,5.16,0.0,Regularly,0
Vikram Pandey,19,Male,BCom,1st Year,88.59,6.68,5.67,10.0,7.07,7.02,0.0,Never,0
Aarav Bansal,20,Male,BCom,2nd Year,68.28,4.45,,8.76,7.36,8.4,0.0,Regularly,0
Nisha Tiwari,21,Female,BSc CS,3rd Year,100.0,6.32,3.0,6.57,7.29,6.32,1.0,Rarely,0
Manav Mishra,20,Female,BCom,2nd Year,58.34,1.6591754872874018,8.12,8.53,7.87,5.65,0.0,Rarely,0
Ananya Kapoor,20,Female,BBA,3rd Year,73.04,7.17,8.17,8.03,7.75,7.02,3.0,Occasionally,0
Manav Iyer,19,Male,BCom,2nd Year,79.89,5.5,8.11,6.78,6.37,8.26,0.0,Occasionally,0
Neha Pandey,21,Female,BBA,2nd Year,48.7,6.43,8.22,6.25,8.5,,,Never,1
Meera Bansal,20,Female,BSc IT,3rd Year,76.71,7.18,,6.93,7.37,4.95,1.0,Regularly,0
Yash Bansal,21,Female,BSc CS,1st Year,,8.32,,7.14,8.57,6.99,,Rarely,0
Riya Kapoor,22,Male,BSc CS,1st Year,,7.57,7.31,8.18,9.0,8.22,0.0,Occasionally,0
Varun Tiwari,21,Male,BBA,2nd Year,10.0,6.5,8.75,,6.86,6.73,4.0,Occasionally,0
Vikram Shah,22,Female,BSc IT,1st Year,48.68,6.85,5.52,7.17,7.28,,1.0,Regularly,0
Rohan Desai,18,Male,BSc IT,3rd Year,100.0,1.112514778318011,6.6,9.37,6.94,5.13,,Never,1
Krishna Agarwal,19,Male,BSc CS,2nd Year,70.38,6.21,,8.21,5.96,7.05,3.0,Occasionally,0
Anjali Mishra,18,Female,BBA,3rd Year,95.52,7.32,7.88,6.66,7.15,6.63,2.0,Never,0
Shreya Singh,19,Female,BBA,2nd Year,64.01,6.57,6.02,7.74,6.76,5.84,2.0,Occasionally,0
Siddharth Bansal,18,Female,BSc IT,2nd Year,34.31,5.47,8.7,5.97,10.0,,,Never,1
Arjun Saxena,18,Female,BSc IT,2nd Year,100.0,7.58,7.17,9.06,8.21,6.76,1.0,Rarely,0
Tanvi Agarwal,20,Male,BSc IT,1st Year,57.2,6.97,6.33,5.07,7.68,6.03,,Occasionally,0
Vikram Saxena,21,Male,BSc IT,1st Year,61.91,1.9784078717022333,6.64,6.03,5.79,5.74,0.0,Never,1
Harsh Reddy,18,Female,BBA,1st Year,78.51,5.86,6.67,,5.16,8.0,2.0,Occasionally,0
Harsh Iyer,21,Male,BA,2nd Year,67.85,7.72,6.85,,7.56,7.61,1.0,Never,0
Aarav Nair,18,Female,BBA,2nd Year,82.04,6.55,,,8.26,,0.0,Occasionally,0
Akash Joshi,22,Female,BBA,2nd Year,100.0,8.13,5.99,,6.56,7.7,0.0,Regularly,0
Vikram Reddy,18,Female,BSc IT,2nd Year,,5.98,7.13,4.9,5.49,8.06,1.0,Occasionally,0
Vivaan Iyer,21,Male,BSc CS,3rd Year,75.65,8.24,7.18,8.04,7.65,9.42,,Never,0
Ananya Kulkarni,20,Male,BSc CS,2nd Year,83.2,7.49,7.86,7.6,8.03,8.21,1.0,Never,0
Tanvi Kapoor,20,Female,BCom,2nd Year,74.38,7.67,6.35,7.77,8.88,7.41,0.0,Never,0
Siddharth Desai,19,Female,BSc CS,2nd Year,46.61,7.77,9.6,6.63,7.26,7.3,1.0,Regularly,0
Krishna Nair,21,Male,BSc CS,3rd Year,14.0,6.16,,7.59,7.59,6.28,1.0,Regularly,0
Vivaan Joshi,20,Male,BSc CS,3rd Year,100.0,7.44,,6.84,4.56,7.88,1.0,Occasionally,0
Kavya Mehta,22,Female,BSc CS,3rd Year,76.33,8.4,6.35,8.05,7.56,7.69,0.0,Occasionally,0
Anjali Saxena,22,Female,BCom,1st Year,,5.53,,8.08,6.75,6.15,0.0,Regularly,0
Priya Chopra,18,Male,BA,1st Year,,9.06,10.0,5.01,6.5,6.42,0.0,Rarely,0
Vikram Iyer,19,Male,BSc CS,3rd Year,57.2,7.77,8.59,7.24,7.85,,0.0,Occasionally,0
Rohan Saxena,18,Female,BA,1st Year,53.61,7.73,5.22,7.38,7.53,5.81,0.0,Regularly,0
Pooja Agarwal,22,Female,BCom,1st Year,100.0,6.86,5.59,5.88,8.94,8.46,4.0,Rarely,0
Aarav Desai,21,Female,BSc CS,2nd Year,100.0,6.97,7.63,,5.95,7.05,0.0,Rarely,0
Anjali Saxena,19,Male,BBA,1st Year,70.78,8.19,7.75,6.41,6.47,7.33,1.0,Rarely,0
Varun Kulkarni,18,Female,BA,2nd Year,12.0,6.22,7.84,7.47,8.07,7.76,0.0,Rarely,0
Kavya Gupta,19,Female,BBA,1st Year,89.25,6.88,8.8,9.02,6.45,9.08,1.0,Never,0
Vikram Reddy,20,Male,BBA,2nd Year,,6.31,6.97,9.57,9.07,7.52,0.0,Occasionally,0
Akash Kapoor,20,Female,BCom,2nd Year,83.46,6.51,5.31,7.58,6.5,8.36,2.0,Rarely,0
Siddharth Agarwal,21,Male,BA,1st Year,51.57,9.4,6.87,9.14,5.04,6.31,2.0,Regularly,0
Kavya Jain,18,Female,BBA,3rd Year,95.7,7.48,,7.39,6.65,5.02,2.0,Occasionally,0
Varun Khan,18,Female,BBA,1st Year,64.71,7.33,5.41,8.29,8.26,6.65,0.0,Regularly,0
Yash Joshi,21,Female,BSc IT,2nd Year,98.06,6.94,,7.09,5.46,8.2,1.0,Rarely,0
Varun Agarwal,20,Female,BBA,3rd Year,13.0,5.18,5.04,8.45,8.79,7.21,,Rarely,0
Pooja Saxena,20,Female,BCom,2nd Year,91.34,6.61,6.34,7.06,6.17,6.84,1.0,Rarely,0
Riya Patel,18,Male,BCom,1st Year,100.0,0.8395639911905788,6.42,4.05,5.15,7.6,1.0,Occasionally,0
Aisha Kapoor,22,Female,BCom,3rd Year,13.0,1.5894105093398103,7.61,7.72,6.03,6.45,1.0,Rarely,0
Rohan Kapoor,18,Female,BSc IT,2nd Year,74.54,9.4,8.16,7.37,6.46,7.08,3.0,Occasionally,0
Manav Sharma,22,Male,BCom,1st Year,99.47,0.8755571971356471,8.13,,5.67,7.96,2.0,Regularly,0
Yash Saxena,18,Male,BBA,1st Year,,6.06,8.08,6.83,6.56,7.9,1.0,Regularly,0
Yash Shah,22,Female,BBA,2nd Year,8.0,5.68,5.27,8.91,5.98,5.81,0.0,Occasionally,0
Krishna Malhotra,18,Female,BSc CS,1st Year,70.45,6.96,5.57,7.37,8.52,7.84,1.0,Never,0
Akash Gupta,21,Male,BSc IT,1st Year,77.56,8.66,7.68,7.71,8.02,7.91,0.0,Rarely,0
Ishaan Joshi,20,Male,BA,2nd Year,56.74,6.42,5.32,,7.47,5.67,1.0,Occasionally,0
Vikram Kulkarni,19,Female,BCom,3rd Year,86.54,8.82,,6.28,5.1,,1.0,Never,0
Manav Pandey,22,Male,BA,3rd Year,66.28,5.93,6.32,,6.83,7.96,0.0,Regularly,0
Meera Khan,22,Male,BCom,3rd Year,92.28,0.5919098098036004,7.17,8.45,7.46,6.66,0.0,Regularly,0
Priya Joshi,19,Male,BA,1st Year,68.06,5.7,7.21,7.32,5.06,7.45,0.0,Occasionally,0
Aarav Desai,19,Female,BA,2nd Year,81.86,7.7,7.82,6.71,5.65,6.46,2.0,Rarely,0
Aditya Joshi,22,Female,BCom,3rd Year,93.37,8.95,5.16,,8.75,4.98,2.0,Never,0
Arjun Mishra,22,Male,BCom,3rd Year,99.59,8.17,8.32,,6.36,5.05,0.0,Occasionally,0
Neha Patel,22,Male,BSc IT,2nd Year,58.49,6.15,6.3,,6.09,7.04,1.0,Occasionally,0
Arjun Verma,19,Male,BCom,3rd Year,76.63,5.69,7.88,5.37,6.77,6.83,0.0,Rarely,0
Shreya Patel,20,Female,BCom,3rd Year,71.09,9.07,7.12,,5.81,7.76,1.0,Never,0
Siddharth Bansal,18,Female,BBA,1st Year,70.4,1.7355701297402484,,6.1,7.95,6.22,0.0,Regularly,0
Neha Jain,18,Female,BA,2nd Year,77.33,9.96,6.65,6.51,5.61,5.15,0.0,Regularly,0
Ishaan Joshi,20,Male,BCom,3rd Year,50.84,5.68,4.42,7.47,9.99,6.99,2.0,Regularly,0
Sneha Shah,18,Female,BCom,1st Year,76.23,6.88,8.1,6.65,7.32,7.39,1.0,Never,0
Akash Gupta,19,Female,BCom,2nd Year,1.0,6.48,6.35,7.1,7.66,7.15,1.0,Rarely,0
Tanvi Mishra,18,Male,BSc IT,2nd Year,95.85,7.67,7.01,5.43,5.72,6.63,0.0,Never,0
Akash Chopra,21,Female,BA,1st Year,75.81,7.08,4.63,5.87,6.83,5.55,2.0,Never,1
Ishaan Reddy,20,Female,BCom,1st Year,55.03,7.33,6.91,5.22,7.78,8.65,0.0,Never,0
Aarav Mishra,22,Female,BBA,1st Year,71.09,6.56,6.15,7.36,6.25,7.02,3.0,Occasionally,0
Simran Tiwari,21,Female,BBA,1st Year,,7.51,,7.81,9.06,5.73,0.0,Occasionally,0
Siddharth Agarwal,22,Male,BCom,2nd Year,100.0,7.5,6.88,6.32,6.53,8.64,2.0,Never,0
Karan Sharma,22,Male,BSc IT,2nd Year,60.09,6.96,4.65,9.47,5.57,,0.0,Regularly,0
Harsh Gupta,18,Male,BSc CS,2nd Year,100.0,8.21,7.39,7.59,6.86,7.56,1.0,Regularly,0
Diya Shah,18,Female,BA,3rd Year,73.67,8.11,8.69,8.46,7.33,,1.0,Rarely,0
Harsh Shah,21,Female,BSc IT,2nd Year,75.94,9.42,7.16,6.56,7.22,,0.0,Occasionally,0
Vikram Kapoor,20,Male,BSc CS,2nd Year,59.3,7.64,8.42,,8.2,6.09,1.0,Never,1
Nisha Bansal,21,Female,BSc CS,2nd Year,71.24,7.77,8.47,6.3,7.05,8.75,3.0,Rarely,0
Akash Mehta,18,Female,BA,2nd Year,59.33,4.64,9.47,5.68,6.73,6.67,2.0,Rarely,0
Nisha Agarwal,18,Female,BBA,2nd Year,78.99,7.36,5.01,,7.73,5.45,0.0,Occasionally,0
Kavya Pandey,20,Female,BSc IT,2nd Year,79.42,4.94,,7.38,6.28,7.33,2.0,Regularly,0
Tanvi Jain,22,Female,BBA,2nd Year,,7.29,10.0,,4.89,7.9,2.0,Occasionally,0
Akash Verma,19,Male,BA,3rd Year,,7.3,7.65,7.41,5.97,6.25,2.0,Rarely,0
Rohan Kulkarni,20,Male,BA,2nd Year,83.76,6.38,,7.33,8.75,5.26,0.0,Regularly,0
Diya Desai,20,Male,BSc CS,2nd Year,100.0,6.52,7.27,8.12,5.3,,1.0,Rarely,0
Nisha Tiwari,18,Female,BSc CS,2nd Year,,5.27,5.01,7.03,8.29,6.35,0.0,Never,0
Tanvi Khan,21,Female,BA,1st Year,100.0,8.45,8.23,7.71,7.93,6.34,1.0,Regularly,0
Kavya Khan,19,Female,BSc IT,3rd Year,,8.14,7.82,3.67,7.96,6.48,1.0,Regularly,0
Neha Patel,21,Male,BBA,1st Year,86.6,8.06,5.95,,6.92,,0.0,Rarely,0
Vivaan Verma,19,Female,BSc CS,2nd Year,88.14,5.5,7.42,5.31,5.59,6.37,1.0,Rarely,0
Simran Desai,22,Male,BSc IT,3rd Year,66.25,5.44,5.32,3.63,7.83,6.88,2.0,Never,1
Sneha Singh,21,Male,BSc CS,3rd Year,60.01,7.42,7.15,5.83,5.93,7.43,0.0,Never,1
Kavya Shah,19,Male,BSc IT,2nd Year,67.8,7.86,7.21,6.8,7.15,6.41,1.0,Rarely,0
Anjali Malhotra,19,Male,BBA,2nd Year,0.0,7.42,9.03,8.39,6.55,7.65,,Occasionally,0
Arjun Kulkarni,19,Female,BA,2nd Year,66.64,5.72,,6.84,6.01,6.8,2.0,Never,0
Rahul Kulkarni,20,Female,BSc IT,2nd Year,54.05,7.21,6.56,6.01,7.1,,0.0,Never,0
Rohan Joshi,19,Female,BA,2nd Year,58.14,7.78,8.96,6.69,8.13,6.17,0.0,Rarely,0
Yash Sharma,20,Female,BCom,1st Year,74.67,6.25,7.72,6.15,6.39,8.39,1.0,Regularly,0
Akash Chopra,22,Male,BA,2nd Year,,7.55,8.9,7.46,9.19,9.42,0.0,Occasionally,0
Aisha Tiwari,19,Female,BSc IT,3rd Year,,5.83,6.99,,7.61,,1.0,Regularly,0
Aditya Chopra,19,Female,BSc CS,3rd Year,71.14,6.12,6.03,8.12,8.26,5.34,0.0,Rarely,0
Ananya Gupta,21,Female,BCom,3rd Year,89.35,8.18,7.79,,6.49,6.68,,Never,0
Sneha Kapoor,18,Male,BA,2nd Year,73.59,6.61,7.94,7.68,8.2,6.25,2.0,Rarely,0
Priya Malhotra,18,Female,BCom,3rd Year,92.14,7.32,6.95,8.38,8.72,5.57,0.0,Rarely,0
Karan Kulkarni,18,Male,BSc IT,1st Year,67.47,7.67,7.35,6.91,5.49,5.79,1.0,Never,0
Simran Gupta,18,Female,BSc CS,2nd Year,85.98,6.89,4.31,,8.19,7.65,1.0,Regularly,0
Anjali Nair,22,Female,BA,2nd Year,87.86,6.8,6.06,7.73,5.63,9.42,2.0,Rarely,0
Rohan Mishra,18,Male,BBA,1st Year,85.0,7.45,6.05,8.43,5.65,6.52,1.0,Rarely,0
Riya Khan,20,Male,BBA,3rd Year,76.9,1.839322790025937,5.8,,7.62,7.22,3.0,Rarely,0
Harsh Patel,20,Male,BSc CS,1st Year,71.38,0.340013728709454,5.29,6.31,5.41,6.71,2.0,Rarely,0
Akash Patel,19,Male,BSc IT,3rd Year,83.11,1.405773225154291,8.2,,7.68,9.68,1.0,Occasionally,0
Vikram Kulkarni,21,Female,BA,2nd Year,70.77,6.73,6.58,6.98,6.64,7.96,0.0,Occasionally,0
Harsh Khan,20,Male,BBA,3rd Year,84.83,8.83,6.57,,7.67,9.7,1.0,Never,0
Siddharth Verma,19,Female,BSc IT,2nd Year,67.56,9.23,8.03,6.03,6.14,9.07,,Never,0
Kavya Nair,20,Male,BCom,3rd Year,84.8,10.0,4.83,6.17,8.77,6.58,2.0,Rarely,0
Krishna Iyer,21,Female,BSc IT,1st Year,94.72,7.7,8.44,6.03,7.47,7.87,1.0,Never,0
Ishaan Mishra,19,Male,BA,1st Year,80.3,0.5950237924789612,6.25,5.14,7.13,6.44,1.0,Regularly,0
Nisha Joshi,22,Male,BA,1st Year,,5.31,6.9,5.19,7.91,7.1,0.0,Regularly,0
Meera Pandey,18,Male,BSc IT,2nd Year,70.36,6.1,7.38,8.61,4.75,7.14,2.0,Occasionally,0
Aarav Malhotra,20,Male,BSc IT,3rd Year,79.03,7.23,8.19,6.92,6.29,8.78,2.0,Rarely,0
Sneha Patel,22,Male,BSc IT,1st Year,88.82,6.35,7.17,6.26,6.15,7.41,1.0,Rarely,0
Kavya Pandey,21,Female,BSc CS,1st Year,70.4,8.1,7.14,4.99,5.92,6.37,3.0,Rarely,0
Krishna Mehta,19,Female,BA,1st Year,70.48,1.2998614949779086,,7.91,8.54,7.14,3.0,Regularly,0
Varun Kulkarni,19,Female,BA,3rd Year,73.46,6.79,5.22,8.26,6.6,6.11,2.0,Regularly,0
Shreya Bansal,21,Male,BA,1st Year,19.0,7.59,4.82,6.17,4.8,8.41,2.0,Rarely,0
Anjali Khan,22,Male,BSc CS,2nd Year,68.84,6.51,7.16,7.27,4.46,8.53,1.0,Never,0
Neha Mishra,22,Male,BBA,3rd Year,,7.13,8.82,9.44,7.03,7.5,0.0,Never,0
Arjun Gupta,20,Female,BA,1st Year,72.64,5.68,6.57,,6.57,6.89,4.0,Regularly,1
Ananya Malhotra,21,Female,BBA,3rd Year,100.0,4.83,6.38,6.19,6.48,8.22,2.0,Rarely,0
Anjali Bansal,22,Female,BSc CS,3rd Year,76.28,7.07,7.59,8.15,4.81,6.79,1.0,Regularly,0
Meera Desai,20,Female,BSc IT,2nd Year,7.0,8.03,5.74,5.56,6.77,8.73,1.0,Rarely,0
Anjali Iyer,20,Female,BSc CS,2nd Year,,1.0278185015539343,,4.97,8.37,6.35,2.0,Never,0
Tanvi Mishra,21,Female,BCom,1st Year,67.15,6.96,5.91,,6.94,8.97,0.0,Never,1
Arjun Gupta,20,Male,BSc CS,2nd Year,56.33,4.44,10.0,8.27,7.27,6.93,,Regularly,0
Simran Mehta,22,Male,BA,3rd Year,77.45,6.99,5.34,8.16,6.06,5.7,,Rarely,0
Karan Desai,19,Female,BBA,3rd Year,62.06,9.35,6.71,8.14,8.32,,0.0,Regularly,0
Yash Tiwari,19,Female,BCom,1st Year,93.21,5.96,8.74,,8.45,5.27,0.0,Occasionally,0
Diya Mishra,18,Female,BSc IT,1st Year,82.29,1.915099527189026,8.28,6.97,5.94,6.8,1.0,Rarely,0
Simran Patel,20,Female,BA,1st Year,100.0,7.94,9.07,7.81,7.47,7.95,0.0,Never,0
Vivaan Tiwari,21,Female,BSc CS,1st Year,84.42,7.54,,5.68,7.76,,0.0,Rarely,0
Manav Reddy,20,Female,BSc CS,1st Year,75.89,6.59,,,6.51,5.34,1.0,Occasionally,0
Aryan Gupta,19,Male,BSc CS,1st Year,81.09,9.16,8.49,7.25,6.41,7.97,2.0,Occasionally,0
Vikram Desai,21,Female,BCom,1st Year,80.89,1.9921138916331333,,4.88,6.17,6.51,1.0,Rarely,0
Manav Jain,18,Female,BA,3rd Year,1.0,6.25,,8.15,5.76,5.97,0.0,Regularly,0
Krishna Mehta,18,Male,BA,1st Year,77.77,5.74,7.25,8.27,4.74,5.57,2.0,Regularly,0
Siddharth Kulkarni,21,Female,BBA,3rd Year,66.68,8.71,8.11,8.16,8.48,7.11,0.0,Never,0
Harsh Malhotra,22,Male,BA,1st Year,100.0,6.51,4.09,6.96,6.91,8.33,0.0,Rarely,0
Neha Patel,18,Female,BA,2nd Year,,8.48,6.62,6.52,7.58,6.56,1.0,Rarely,0
Aditya Joshi,22,Female,BA,1st Year,85.09,6.8,7.45,6.3,6.59,9.36,1.0,Regularly,0
Meera Chopra,18,Male,BSc IT,2nd Year,70.34,7.05,5.8,7.89,6.38,6.73,1.0,Rarely,0
Tanvi Patel,18,Male,BBA,3rd Year,,7.53,7.74,7.44,6.87,6.41,1.0,Never,0
Sneha Mehta,21,Female,BA,3rd Year,,6.71,,8.18,6.11,4.41,1.0,Occasionally,0
Pooja Gupta,20,Female,BSc CS,2nd Year,83.87,9.39,7.43,7.92,8.51,,1.0,Regularly,0
Anjali Gupta,20,Female,BA,2nd Year,69.04,7.37,7.18,6.26,9.89,7.21,2.0,Never,0
Harsh Chopra,21,Male,BBA,1st Year,83.06,1.8760080940057815,6.75,6.22,6.21,6.28,0.0,Rarely,0
Priya Tiwari,22,Female,BCom,1st Year,83.37,8.08,,,5.76,8.49,1.0,Never,0
Rohan Joshi,19,Female,BA,2nd Year,81.74,7.24,5.11,6.98,6.88,6.35,0.0,Regularly,0
Aryan Chopra,19,Female,BSc IT,2nd Year,93.78,6.36,7.27,8.01,6.26,9.63,1.0,Occasionally,0
Arjun Bansal,22,Male,BA,3rd Year,89.31,6.95,5.99,7.48,7.01,7.22,,Occasionally,0
Pooja Nair,21,Male,BSc IT,1st Year,62.72,7.06,7.4,,5.06,,2.0,Occasionally,0
Rahul Kapoor,20,Male,BA,1st Year,62.66,8.58,6.0,8.9,8.26,6.62,1.0,Regularly,0
Sneha Khan,18,Female,BBA,3rd Year,51.82,7.28,5.56,6.99,8.87,7.74,0.0,Never,1
Tanvi Khan,20,Female,BSc IT,2nd Year,75.9,1.3053993376505575,6.27,7.91,6.33,5.25,1.0,Regularly,0
Varun Kulkarni,18,Female,BCom,3rd Year,53.05,6.12,7.29,4.95,6.49,8.49,1.0,Regularly,0
