name,age,gender,course,year,attendance,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,backlog_count,event_participation,dropout_thought,avg_gpa,event_score,has_backlog,risk_probability,predicted_risk_probability,risk_level
Khushi Chitale,21,Female,BCom,1st Year,82,7.3,7.4,6.2,7.3,7.4,0.0,occasionally,0,7.1,2,0,0.2636491881021701,0.26,Low
Yash Sheikh,22,Male,BBA,2nd Year,73,8.1,7.0,4.7,6.0,8.6,1.0,never,0,6.9,0,1,0.5298496263168953,0.53,Medium
Ritika Pillai,20,Male,BSc CS,3rd Year,97,7.5,4.9,6.7,7.4,7.6,1.0,rarely,0,6.8,1,1,0.3661794279196806,0.37,Medium
Simran Joshi,21,Female,BBA,1st Year,98,6.5,7.9,8.2,6.6,7.0,1.0,never,0,7.2,0,1,0.36912086922592063,0.37,Medium
Arnav Shah,19,Female,BA,1st Year,73,5.6,7.4,7.7,8.3,7.0,0.0,regularly,0,7.2,3,0,0.23414473091814977,0.23,Low
Mayank Gadkari,20,Male,BSc IT,2nd Year,66,7.8,5.3,5.6,7.6,6.8,1.0,occasionally,0,6.6,2,1,0.47114085902092023,0.47,Medium
Bhavesh Bhat,20,Female,BBA,1st Year,58,5.2,7.2,6.0,7.0,6.4,1.0,regularly,0,6.3,3,1,0.4808206020950265,0.49,Medium
Simran Nair,21,Male,BSc CS,1st Year,76,4.6,7.5,6.4,7.9,6.9,1.0,regularly,0,6.7,3,1,0.3577152804874389,0.36,Medium
Yamini Kamble,20,Female,BSc CS,3rd Year,95,8.0,7.0,7.5,8.3,6.2,0.0,occasionally,0,7.4,2,0,0.1669568088363298,0.17,Low
Mansi Mathew,18,Female,BSc CS,1st Year,60,9.5,6.4,6.6,7.6,10.0,4.0,occasionally,1,8.0,2,1,0.5532160758771798,0.55,Medium
Ananya Jain,21,Male,BSc CS,1st Year,62,7.3,6.2,6.8,6.4,6.3,0.0,regularly,0,6.6,3,0,0.35390341267220937,0.35,Medium
Vivek Dalvi,22,Male,BA,1st Year,83,6.8,6.9,6.4,7.1,7.6,1.0,rarely,0,6.9,1,1,0.4145331212294026,0.42,Medium
Pooja Dubey,18,Female,BSc IT,1st Year,70,10.0,5.2,6.0,7.5,6.8,1.0,regularly,0,7.1,3,1,0.3342287720983281,0.33,Medium
Krishna Prajapati,19,Female,BCom,1st Year,100,7.5,7.1,7.1,6.7,8.4,0.0,occasionally,0,7.4,2,0,0.15223459495152614,0.16,Low
Kiara Sheikh,19,Female,BSc IT,2nd Year,71,8.4,6.4,6.2,8.6,4.6,1.0,occasionally,0,6.8,2,1,0.4180598493261697,0.41,Medium
Saanvi Kadam,20,Male,BSc CS,2nd Year,66,5.2,8.9,7.0,7.8,7.6,2.0,regularly,0,7.3,3,1,0.4000810397094576,0.41,Medium
Vihaan Chitale,18,Male,BSc CS,1st Year,38,6.6,7.6,7.1,8.2,7.6,1.0,occasionally,0,7.4,2,1,0.5020710147972506,0.5,Medium
Arnav Naidu,18,Female,BSc IT,2nd Year,93,9.2,6.9,8.2,5.3,7.9,0.0,regularly,0,7.5,3,0,0.10902842392772456,0.12,Low
Bhavesh Chaudhari,19,Male,BBA,2nd Year,67,6.0,5.4,6.6,5.0,9.1,0.0,never,0,6.4,0,0,0.5329861632199778,0.54,Medium
Saanvi Chowdhury,22,Female,BSc IT,1st Year,55,9.2,8.4,6.4,4.9,7.0,3.0,rarely,0,7.2,1,1,0.6582825584536423,0.65,High
Siddharth Yadav,21,Male,BCom,1st Year,66,7.0,7.1,7.0,7.8,5.7,2.0,regularly,0,6.9,3,1,0.4498154095506798,0.45,Medium
Rohan Lokhande,18,Male,BSc CS,3rd Year,30,6.7,6.4,8.1,6.3,10.0,1.0,regularly,0,7.5,3,1,0.46702884413362544,0.47,Medium
Amit D'Souza,21,Male,BA,1st Year,73,4.7,8.2,7.8,8.4,7.0,1.0,never,0,7.2,0,1,0.4871086832547947,0.49,Medium
Rudra Pawar,19,Male,BCom,1st Year,68,8.4,5.3,6.8,6.9,7.0,0.0,rarely,0,6.9,1,0,0.41543356244559826,0.41,Medium
Parth Trivedi,20,Female,BBA,2nd Year,76,8.3,7.1,7.4,7.7,7.0,0.0,regularly,0,7.5,3,0,0.18402016988324274,0.19,Low
Saanvi Bhosale,18,Male,BSc CS,3rd Year,74,4.4,7.6,7.0,5.6,7.0,1.0,occasionally,0,6.3,2,1,0.47010535162229494,0.47,Medium
Ishita Pandey,20,Female,BSc CS,1st Year,88,6.3,7.0,7.0,6.3,7.0,1.0,rarely,0,6.7,1,1,0.41932046702884423,0.42,Medium
Sonal Dalvi,22,Female,BA,3rd Year,42,7.5,6.1,7.0,7.8,5.6,0.0,rarely,0,6.8,1,0,0.5422457003931926,0.54,Medium
Hitesh Yadav,22,Female,BSc CS,1st Year,79,5.4,5.1,7.2,6.6,4.5,0.0,rarely,0,5.8,1,0,0.4976738601914939,0.5,Medium
Ananya Chavan,21,Male,BCom,2nd Year,100,9.8,8.2,6.5,8.9,6.5,0.0,occasionally,0,8.0,2,0,0.07635741513341529,0.08,Low
Nisha Tiwari,18,Female,BCom,1st Year,77,9.2,6.9,7.7,8.0,4.9,1.0,regularly,0,7.3,3,1,0.27406429150283623,0.28,Low
Pallavi Rao,19,Female,BSc IT,3rd Year,64,4.8,7.0,7.1,7.3,5.9,0.0,never,1,6.4,0,0,0.5493741933547439,0.55,Medium
Vihaan Pandey,21,Male,BSc CS,1st Year,73,8.1,5.0,7.0,4.4,9.4,0.0,occasionally,0,6.8,2,0,0.3462796770417505,0.35,Medium
Nandini Yadav,21,Male,BCom,1st Year,72,6.9,7.1,6.3,7.7,7.0,2.0,occasionally,0,7.0,2,1,0.47087072665606144,0.47,Medium
Simran Chopra,18,Male,BBA,1st Year,51,6.7,8.0,8.1,7.1,5.9,2.0,occasionally,0,7.2,2,1,0.5452921931746556,0.54,Medium
Khushi Lad,21,Male,BCom,1st Year,83,8.5,8.2,7.1,6.4,7.5,0.0,regularly,0,7.5,3,0,0.14995347720382987,0.15,Low
Ritika Ghosh,21,Female,BSc IT,1st Year,62,8.8,7.5,6.6,8.0,8.5,0.0,never,1,7.9,0,0,0.3804664285499894,0.37,Medium
Vaishnavi Kamble,21,Male,BSc IT,1st Year,73,8.2,8.7,8.2,5.0,7.3,0.0,occasionally,0,7.5,2,0,0.26103790857520176,0.26,Low
Saanvi Naidu,19,Female,BSc CS,2nd Year,97,7.2,10.0,7.0,7.1,9.1,1.0,rarely,0,8.1,1,1,0.21214395053576252,0.23,Low
Bhavesh Solanki,21,Female,BSc CS,1st Year,66,6.8,6.6,6.4,6.5,6.5,1.0,rarely,0,6.6,1,1,0.537968604616262,0.53,Medium
Meera Inamdar,22,Female,BSc CS,1st Year,64,8.7,7.0,7.7,6.2,7.0,1.0,never,1,7.3,0,1,0.5126211843803463,0.51,Medium
Rudra Rane,19,Male,BCom,1st Year,89,6.7,5.7,10.0,7.1,7.0,0.0,never,0,7.3,0,0,0.3325479484947624,0.33,Medium
Chirag Chaudhary,20,Male,BCom,2nd Year,68,4.4,7.0,8.8,7.4,8.4,0.0,regularly,0,7.2,3,0,0.25530509949875435,0.26,Low
Bhavesh Bose,21,Female,BSc CS,3rd Year,100,6.3,3.0,6.6,7.3,6.3,1.0,rarely,0,5.9,1,1,0.46282678512471104,0.47,Medium
Sonal Ansari,20,Female,BBA,3rd Year,73,7.2,8.2,8.0,7.8,7.0,3.0,occasionally,0,7.6,2,1,0.4667887264759731,0.47,Medium
Isha More,19,Male,BCom,2nd Year,80,5.5,8.1,6.8,6.4,8.3,0.0,occasionally,0,7.0,2,0,0.2857550199597802,0.29,Low
Vidhi Chopra,21,Female,BBA,2nd Year,49,6.4,8.2,6.2,8.5,7.0,1.0,never,1,7.3,0,1,0.5878980700543267,0.57,Medium
Akash Kapoor,20,Female,BSc IT,3rd Year,77,7.2,7.0,6.9,7.4,5.0,1.0,regularly,0,6.7,3,1,0.353378155296095,0.36,Medium
Dhruv Patankar,21,Female,BSc CS,1st Year,73,8.3,7.0,7.1,8.6,7.0,1.0,rarely,0,7.6,1,1,0.38181709037428335,0.38,Medium
Komal Inamdar,22,Male,BSc CS,1st Year,73,7.6,7.3,8.2,9.0,8.2,0.0,occasionally,0,8.1,2,0,0.19236425848665825,0.2,Low
Kavya More,22,Female,BSc IT,1st Year,49,6.8,5.5,7.2,7.3,7.0,1.0,regularly,0,6.8,3,1,0.4698502266110394,0.47,Medium
Komal Shirke,19,Male,BSc CS,2nd Year,70,6.2,7.0,8.2,6.0,7.0,3.0,occasionally,0,6.9,2,1,0.56796830446919,0.57,Medium
Saanvi Joshi,18,Female,BBA,3rd Year,96,7.3,7.9,6.7,7.2,6.6,2.0,never,0,7.1,0,1,0.4706306089984092,0.47,Medium
Sara Prajapati,19,Female,BBA,2nd Year,64,6.6,6.0,7.7,6.8,5.8,2.0,occasionally,0,6.6,2,1,0.5575081790077139,0.56,Medium
Sagar Kapoor,18,Female,BSc IT,2nd Year,34,5.5,8.7,6.0,10.0,7.0,1.0,never,1,7.4,0,1,0.6349161088933577,0.62,High
Kunal Menon,18,Female,BSc IT,2nd Year,100,7.6,7.2,9.1,8.2,6.8,1.0,rarely,0,7.8,1,1,0.2399975988234234,0.26,Low
Ritika Bose,20,Male,BSc IT,1st Year,57,7.0,6.3,5.1,7.7,6.0,1.0,occasionally,0,6.4,2,1,0.5335414353032986,0.53,Medium
Krupa Jain,18,Female,BBA,1st Year,79,5.9,6.7,7.0,5.2,8.0,2.0,occasionally,0,6.5,2,1,0.4979890146171624,0.5,Medium
Darshan Gadkari,21,Male,BA,2nd Year,68,7.7,6.8,7.0,7.6,7.6,1.0,never,0,7.3,0,1,0.49375694090104144,0.5,Medium
Meera Yadav,18,Female,BBA,2nd Year,82,6.6,7.0,7.0,8.3,7.0,0.0,occasionally,0,7.2,2,0,0.2569859231023201,0.26,Low
Arjun Varghese,22,Female,BBA,2nd Year,100,8.1,6.0,7.0,6.6,7.7,0.0,regularly,0,7.1,3,0,0.12654200558273537,0.13,Low
Arjun George,18,Female,BSc IT,2nd Year,73,6.0,7.1,4.9,5.5,8.1,1.0,occasionally,0,6.3,2,1,0.476783623975748,0.47,Medium
Bhakti Shah,21,Male,BSc CS,3rd Year,76,8.2,7.2,8.0,7.6,9.4,1.0,never,0,8.1,0,1,0.3676351412191974,0.37,Medium
Amit Inamdar,20,Male,BSc CS,2nd Year,83,7.5,7.9,7.6,8.0,8.2,1.0,never,0,7.8,0,1,0.3658192514332021,0.37,Medium
Bhavesh Chatterjee,20,Female,BCom,2nd Year,74,7.7,6.4,7.8,8.9,7.4,0.0,never,0,7.6,0,0,0.3571450010505147,0.35,Medium
Kavya Rane,19,Female,BSc CS,2nd Year,47,7.8,9.6,6.6,7.3,7.3,1.0,regularly,0,7.7,3,1,0.36559414112915345,0.37,Medium
Atharva Bansal,20,Male,BSc CS,3rd Year,100,7.4,7.0,6.8,4.6,7.9,1.0,occasionally,0,6.7,2,1,0.3015877780112255,0.31,Medium
Dev Nikam,22,Female,BSc CS,3rd Year,76,8.4,6.4,8.0,7.6,7.7,0.0,occasionally,0,7.6,2,0,0.22902722333943631,0.23,Low
Meera Mukherjee,22,Female,BCom,1st Year,73,5.5,7.0,8.1,6.8,6.2,0.0,regularly,0,6.7,3,0,0.295014557132995,0.29,Low
Mayank Lad,18,Male,BA,1st Year,73,9.1,10.0,5.0,6.5,6.4,0.0,rarely,0,7.4,1,0,0.3313923822673108,0.33,Medium
Aryan Verma,19,Male,BSc CS,3rd Year,57,7.8,8.6,7.2,7.8,7.0,0.0,occasionally,0,7.7,2,0,0.30530960170483523,0.3,Low
Atharva Mathew,18,Female,BA,1st Year,54,7.7,5.2,7.4,7.5,5.8,0.0,regularly,0,6.7,3,0,0.37645946513791756,0.38,Medium
Sneha Fernandes,22,Female,BCom,1st Year,100,6.9,5.6,5.9,8.9,8.5,4.0,rarely,0,7.1,1,1,0.5383437884563437,0.53,Medium
Rudra Pandey,21,Female,BSc CS,2nd Year,100,7.0,7.6,7.0,6.0,7.0,0.0,rarely,0,6.9,1,0,0.2653300117057358,0.28,Low
Sneha Khan,19,Male,BBA,1st Year,71,8.2,7.8,6.4,6.5,7.3,1.0,rarely,0,7.2,1,1,0.4347030044721914,0.43,Medium
Vivaan Wagh,19,Female,BBA,1st Year,89,6.9,8.8,9.0,6.4,9.1,1.0,never,0,8.0,0,1,0.31360866824744127,0.31,Medium
Dev Wagh,20,Male,BBA,2nd Year,73,6.3,7.0,9.6,9.1,7.5,0.0,occasionally,0,7.9,2,0,0.21253414172944735,0.22,Low
Nandini Chaudhary,20,Female,BCom,2nd Year,83,6.5,5.3,7.6,6.5,8.4,2.0,rarely,0,6.9,1,1,0.4980340366779723,0.5,Medium
Rohan Chowdhury,21,Male,BA,1st Year,52,9.4,6.9,9.1,5.0,6.3,2.0,regularly,0,7.4,3,1,0.4615211453612271,0.46,Medium
Pooja Kamble,18,Female,BBA,3rd Year,96,7.5,7.0,7.4,6.6,5.0,2.0,occasionally,0,6.7,2,1,0.40030615001350667,0.4,Medium
Vihaan Reddy,18,Female,BBA,1st Year,65,7.3,5.4,8.3,8.3,6.6,0.0,regularly,0,7.2,3,0,0.2719782693519825,0.27,Low
Saanvi Jadhav,21,Female,BSc IT,2nd Year,98,6.9,7.0,7.1,5.5,8.2,1.0,rarely,0,6.9,1,1,0.3470600594291202,0.35,Medium
Pooja Gokhale,20,Female,BCom,2nd Year,91,6.6,6.3,7.1,6.2,6.8,1.0,rarely,0,6.6,1,1,0.41729447429240335,0.42,Medium
Meera Patankar,18,Female,BSc IT,2nd Year,75,9.4,8.2,7.4,6.5,7.1,3.0,occasionally,0,7.7,2,1,0.45211153465197934,0.45,Medium
Bhavesh Kapoor,18,Male,BBA,1st Year,73,6.1,8.1,6.8,6.6,7.9,1.0,regularly,0,7.1,3,1,0.32382867605126503,0.32,Medium
Dhruv Desai,18,Female,BSc CS,1st Year,70,7.0,5.6,7.4,8.5,7.8,1.0,never,0,7.3,0,1,0.49357685265780216,0.49,Medium
Mansi D'Souza,21,Male,BSc IT,1st Year,78,8.7,7.7,7.7,8.0,7.9,0.0,rarely,0,8.0,1,0,0.2371762163460094,0.25,Low
Bhakti Solanki,20,Male,BA,2nd Year,57,6.4,5.3,7.0,7.5,5.7,1.0,occasionally,0,6.4,2,1,0.5404148032535943,0.53,Medium
Rudra Chowdhury,19,Female,BCom,3rd Year,87,8.8,7.0,6.3,5.1,7.0,1.0,never,0,6.8,0,1,0.47048053546237656,0.47,Medium
Ishaan Mhatre,22,Male,BA,3rd Year,66,5.9,6.3,7.0,6.8,8.0,0.0,regularly,0,6.8,3,0,0.31053216075877177,0.31,Medium
Parth Pillai,19,Male,BA,1st Year,68,5.7,7.2,7.3,5.1,7.4,0.0,occasionally,0,6.5,2,0,0.3937629438424828,0.38,Medium
Laksh Mishra,19,Female,BA,2nd Year,82,7.7,7.8,6.7,5.6,6.5,2.0,rarely,0,6.9,1,1,0.5033166251463217,0.5,Medium
Yamini Chatterjee,22,Female,BCom,3rd Year,93,9.0,5.2,7.0,8.8,5.0,2.0,never,0,7.0,0,1,0.49951976468469533,0.49,Medium
Harsh Yadav,22,Male,BCom,3rd Year,100,8.2,8.3,7.0,6.4,5.0,0.0,occasionally,0,7.0,2,0,0.19994297205630754,0.2,Low
Darshan Joshi,22,Male,BSc IT,2nd Year,58,6.2,6.3,7.0,6.1,7.0,1.0,occasionally,0,6.5,2,1,0.5157277065762224,0.51,Medium
Laksh Nair,19,Male,BCom,3rd Year,77,5.7,7.9,5.4,6.8,6.8,0.0,rarely,0,6.5,1,0,0.42001080529459434,0.42,Medium
Chirag Bhatt,20,Female,BCom,3rd Year,71,9.1,7.1,7.0,5.8,7.8,1.0,never,0,7.4,0,1,0.4786895578833628,0.48,Medium
Riya Chaudhary,18,Female,BA,2nd Year,77,10.0,6.6,6.5,5.6,5.2,0.0,regularly,0,6.8,3,0,0.2646246660863824,0.27,Low
Vidhi Saxena,20,Male,BCom,3rd Year,51,5.7,4.4,7.5,10.0,7.0,2.0,regularly,0,6.9,3,1,0.5178737581414892,0.51,Medium
Sagar Menon,18,Female,BCom,1st Year,76,6.9,8.1,6.6,7.3,7.4,1.0,never,0,7.3,0,1,0.4656331602485217,0.47,Medium
Pallavi Agarwal,18,Male,BSc IT,2nd Year,96,7.7,7.0,5.4,5.7,6.6,0.0,never,0,6.5,0,0,0.3954287600924452,0.4,Medium
Mehul Mittal,21,Female,BA,1st Year,76,7.1,4.6,5.9,6.8,5.6,2.0,never,1,6.0,0,1,0.6957559204009964,0.69,High
Yash Jain,20,Female,BCom,1st Year,55,7.3,6.9,5.2,7.8,8.6,0.0,never,0,7.2,0,0,0.4968484557433142,0.49,Medium
Rekha Gadkari,22,Female,BBA,1st Year,71,6.6,6.2,7.4,6.2,7.0,3.0,occasionally,0,6.7,2,1,0.5908245040069633,0.59,Medium
Amit Pandey,21,Female,BBA,1st Year,73,7.5,7.0,7.8,9.1,5.7,0.0,occasionally,0,7.4,2,0,0.2686016147912475,0.27,Low
Riya Banerjee,22,Male,BCom,2nd Year,100,7.5,6.9,6.3,6.5,8.6,2.0,never,0,7.2,0,1,0.4449380196296183,0.45,Medium
Karan Agarwal,22,Male,BSc IT,2nd Year,60,7.0,4.6,9.5,5.6,7.0,0.0,regularly,0,6.7,3,0,0.3475252873908215,0.35,Medium
Tanish Patankar,18,Male,BSc CS,2nd Year,100,8.2,7.4,7.6,6.9,7.6,1.0,regularly,0,7.5,3,1,0.14803253594261176,0.16,Low
Palak Salunkhe,18,Female,BA,3rd Year,74,8.1,8.7,8.5,7.3,7.0,1.0,rarely,0,7.9,1,1,0.33885103700813407,0.35,Medium
Nandini Varghese,21,Female,BSc IT,2nd Year,76,9.4,7.2,6.6,7.2,7.0,0.0,occasionally,0,7.5,2,0,0.2471110844313714,0.25,Low
Pranav Dalvi,20,Male,BSc CS,2nd Year,59,7.6,8.4,7.0,8.2,6.1,1.0,never,1,7.5,0,1,0.5176036257766307,0.51,Medium
Pooja Fernandes,21,Female,BSc CS,2nd Year,71,7.8,8.5,6.3,7.0,8.8,3.0,rarely,0,7.7,1,1,0.5301197586817539,0.54,Medium
Nandini Sethi,18,Female,BA,2nd Year,59,4.6,9.5,5.7,6.7,6.7,2.0,rarely,0,6.6,1,1,0.6323648587808026,0.64,High
Ishita Jain,18,Female,BBA,2nd Year,79,7.4,5.0,7.0,7.7,5.4,0.0,occasionally,0,6.5,2,0,0.3491160668727676,0.35,Medium
Aniket Prajapati,20,Female,BSc IT,2nd Year,79,4.9,7.0,7.4,6.3,7.3,2.0,regularly,0,6.6,3,1,0.4282198277155805,0.43,Medium
Divya Desai,22,Female,BBA,2nd Year,73,7.3,10.0,7.0,4.9,7.9,2.0,occasionally,0,7.4,2,1,0.41927544496803437,0.43,Medium
Ishaan Menon,19,Male,BA,3rd Year,73,7.3,7.6,7.4,6.0,6.2,2.0,rarely,0,6.9,1,1,0.5393342737941592,0.54,Medium
Laksh Kadam,20,Male,BA,2nd Year,84,6.4,7.0,7.3,8.8,5.3,0.0,regularly,0,6.9,3,0,0.21562565657172011,0.21,Low
Kavya Dalvi,20,Male,BSc CS,2nd Year,100,6.5,7.3,8.1,5.3,7.0,1.0,rarely,0,6.8,1,1,0.3494912507128493,0.36,Medium
Jinal Lokhande,18,Female,BSc CS,2nd Year,73,5.3,5.0,7.0,8.3,6.4,0.0,never,0,6.4,0,0,0.5124410961371073,0.51,Medium
Ira Chaudhary,21,Female,BA,1st Year,100,8.4,8.2,7.7,7.9,6.3,1.0,regularly,0,7.7,3,1,0.12282018188912566,0.13,Low
Nikhil Rawat,19,Female,BSc IT,3rd Year,73,8.1,7.8,3.7,8.0,6.5,1.0,regularly,0,6.8,3,1,0.35648467749197077,0.36,Medium
Simran Thomas,21,Male,BBA,1st Year,87,8.1,6.0,7.0,6.9,7.0,0.0,rarely,0,7.0,1,0,0.3174955728306871,0.33,Medium
Shreya Rao,19,Female,BSc CS,2nd Year,88,5.5,7.4,5.3,5.6,6.4,1.0,rarely,0,6.0,1,1,0.49965483086712487,0.5,Medium
Reyansh Pandey,22,Male,BSc IT,3rd Year,66,5.4,5.3,3.6,7.8,6.9,2.0,never,1,5.8,0,1,0.7594471290932557,0.75,High
Diya Trivedi,21,Male,BSc CS,3rd Year,60,7.4,7.2,5.8,5.9,7.4,0.0,never,1,6.8,0,0,0.5255725305399646,0.52,Medium
Kavya Ansari,19,Male,BSc IT,2nd Year,68,7.9,7.2,6.8,7.2,6.4,1.0,rarely,0,7.1,1,1,0.46540804994447266,0.46,Medium
Isha Inamdar,19,Female,BA,2nd Year,67,5.7,7.0,6.8,6.0,6.8,2.0,never,0,6.5,0,1,0.6792928534982142,0.67,High
Aditya Mukherjee,20,Female,BSc IT,2nd Year,54,7.2,6.6,6.0,7.1,7.0,0.0,never,0,6.8,0,0,0.5492841492331241,0.54,Medium
Om Khan,19,Female,BA,2nd Year,58,7.8,9.0,6.7,8.1,6.2,0.0,rarely,0,7.5,1,0,0.3786355314103909,0.39,Medium
Simran Tiwari,20,Female,BCom,1st Year,75,6.2,7.7,6.2,6.4,8.4,1.0,regularly,0,7.0,3,1,0.3271453011975868,0.33,Medium
Divya Inamdar,22,Male,BA,2nd Year,73,7.6,8.9,7.5,9.2,9.4,0.0,occasionally,0,8.5,2,0,0.13857790317255428,0.16,Low
Myra Naidu,19,Female,BSc IT,3rd Year,73,5.8,7.0,7.0,7.6,7.0,1.0,regularly,0,6.9,3,1,0.3476003241588378,0.35,Medium
Krishna Patankar,19,Female,BSc CS,3rd Year,71,6.1,6.0,8.1,8.3,5.3,0.0,rarely,0,6.8,1,0,0.41279226821142345,0.41,Medium
Reyansh Sheikh,21,Female,BCom,3rd Year,89,8.2,7.8,7.0,6.5,6.7,1.0,never,0,7.2,0,1,0.4113665696191134,0.41,Medium
Krishna Shetty,18,Male,BA,2nd Year,74,6.6,7.9,7.7,8.2,6.2,2.0,rarely,0,7.3,1,1,0.4843623375453972,0.49,Medium
Pranav Das,18,Female,BCom,3rd Year,92,7.3,7.0,8.4,8.7,5.6,0.0,rarely,0,7.4,1,0,0.24452981961160963,0.25,Low
Saloni Chitale,18,Male,BSc IT,1st Year,67,7.7,7.4,6.9,5.5,5.8,1.0,never,0,6.6,0,1,0.5802293123630579,0.58,Medium
Ananya Pandey,18,Female,BSc CS,2nd Year,86,6.9,4.3,7.0,8.2,7.6,1.0,regularly,0,6.8,3,1,0.2968754689798001,0.29,Low
Harsh Shaikh,22,Female,BA,2nd Year,88,6.8,6.1,7.7,5.6,9.4,2.0,rarely,0,7.1,1,1,0.44508809316565107,0.45,Medium
Mansi Bhat,18,Male,BBA,1st Year,85,7.4,6.0,8.4,5.6,6.5,1.0,rarely,0,6.8,1,1,0.4199057538193716,0.42,Medium
Jay Bansal,21,Female,BA,2nd Year,71,6.7,6.6,7.0,6.6,8.0,0.0,occasionally,0,7.0,2,0,0.32993666896779417,0.33,Medium
Pranav Mhatre,20,Male,BBA,3rd Year,85,8.8,6.6,7.0,7.7,9.7,1.0,never,0,8.0,0,1,0.34455383137737505,0.35,Medium
Tejas Gawande,19,Female,BSc IT,2nd Year,68,9.2,8.0,6.0,6.1,9.1,1.0,never,0,7.7,0,1,0.4528018729177296,0.45,Medium
Aarav Tiwari,20,Male,BCom,3rd Year,85,10.0,4.8,6.2,8.8,6.6,2.0,rarely,0,7.3,1,1,0.44181649008013923,0.44,Medium
Shreya Sheikh,21,Female,BSc IT,1st Year,95,7.7,8.4,6.0,7.5,7.9,1.0,never,0,7.5,0,1,0.3542936038658942,0.35,Medium
Ishaan George,22,Male,BA,1st Year,73,5.3,6.9,5.2,7.9,7.1,0.0,regularly,0,6.5,3,0,0.3213074406459163,0.32,Medium
Ritika Chaudhary,18,Male,BSc IT,2nd Year,70,6.1,7.4,8.6,4.8,7.1,2.0,occasionally,0,6.8,2,1,0.5037068163400066,0.5,Medium
Aarav Sawant,20,Male,BSc IT,3rd Year,79,7.2,8.2,6.9,6.3,8.8,2.0,rarely,0,7.5,1,1,0.4423417474562536,0.45,Medium
Sneha Patankar,22,Male,BSc IT,1st Year,89,6.4,7.2,6.3,6.2,7.4,1.0,rarely,0,6.7,1,1,0.4209562685715999,0.42,Medium
Tanya Das,21,Female,BSc CS,1st Year,70,8.1,7.1,5.0,5.9,6.4,3.0,rarely,0,6.5,1,1,0.6736500885433863,0.67,High
Aanya Jain,19,Female,BA,3rd Year,73,6.8,5.2,8.3,6.6,6.1,2.0,regularly,0,6.6,3,1,0.4537323288411323,0.46,Medium
Gauri George,22,Male,BSc CS,2nd Year,69,6.5,7.2,7.3,4.5,8.5,1.0,never,0,6.8,0,1,0.5567728186811538,0.55,Medium
Anjali Sethi,22,Male,BBA,3rd Year,73,7.1,8.8,9.4,7.0,7.5,0.0,never,0,8.0,0,0,0.3210673229882642,0.33,Medium
Nisha Pinto,20,Female,BA,1st Year,73,5.7,6.6,7.0,6.6,6.9,4.0,regularly,1,6.5,3,1,0.6139808506168022,0.61,High
